turnausvaihe;kotijoukkue;vierasjoukkue;maalit_koti;maalit_vieras;fifa_koti;fifa_vieras;maaliero;fifaerotus
1;Alkulohko;Puola;Kreikka;1;1;518;953;0;-435
2;Alkulohko;Venaja;Tshekki;4;1;975;771;3;204
3;Alkulohko;Hollanti;Tanska;0;1;1234;1019;-1;215
4;Alkulohko;Saksa;Portugali;1;0;1288;996;1;292
5;Alkulohko;Espanja;Italia;1;1;1456;977;0;479
6;Alkulohko;Irlanti;Kroatia;1;3;907;1053;-2;-146
7;Alkulohko;Ranska;Englanti;1;1;964;1145;0;-181
8;Alkulohko;Ukraina;Ruotsi;2;1;572;910;1;-338
9;Alkulohko;Kreikka;Tshekki;1;2;953;771;-1;182
10;Alkulohko;Puola;Venaja;1;1;518;975;0;-457
11;Alkulohko;Tanska;Portugali;2;3;1019;996;-1;23
12;Alkulohko;Hollanti;Saksa;1;2;1234;1288;-1;-54
13;Alkulohko;Italia;Kroatia;1;1;977;1053;0;-76
14;Alkulohko;Espanja;Irlanti;4;0;1456;907;4;549
15;Alkulohko;Ukraina;Ranska;0;2;572;964;-2;-392
16;Alkulohko;Ruotsi;Englanti;2;3;910;1145;-1;-235
17;Alkulohko;Tshekki;Puola;1;0;771;518;1;253
18;Alkulohko;Kreikka;Venaja;1;0;953;975;1;-22
19;Alkulohko;Portugali;Hollanti;2;1;996;1234;1;-238
20;Alkulohko;Tanska;Saksa;1;2;1019;1288;-1;-269
21;Alkulohko;Kroatia;Espanja;0;1;1053;1456;-1;-403
22;Alkulohko;Italia;Irlanti;2;0;977;907;2;70
23;Alkulohko;Englanti;Ukraina;1;0;1145;572;1;573
24;Alkulohko;Ruotsi;Ranska;2;0;910;964;2;-54
25;Puolivaliera;Tshekki;Portugali;0;1;771;996;-1;-225
26;Puolivaliera;Saksa;Kreikka;4;2;1288;953;2;335
27;Puolivaliera;Espanja;Ranska;2;0;1456;964;2;492
28;Puolivaliera;Englanti;Italia;0;0;1145;977;0;168
29;Valiera;Portugali;Espanja;0;0;996;1456;0;-460
30;Valiera;Saksa;Italia;1;2;1288;977;-1;311
31;Finaali;Espanja;Italia;4;0;1456;977;4;479
