turnausvaihe;kotijoukkue;vierasjoukkue;maalit_koti;maalit_vieras;fifa_koti;fifa_vieras;uefa_koti;uefa_vieras
1;Alkulohko;Puola;Kreikka;1;1;518;953;23806;32455
2;Alkulohko;Venaja;Tshekki;4;1;975;771;33212;29602
3;Alkulohko;Hollanti;Tanska;0;1;1234;1019;40860;31205
4;Alkulohko;Saksa;Portugali;1;0;1288;996;40446;31717
5;Alkulohko;Espanja;Italia;1;1;1456;977;43116;34357
6;Alkulohko;Irlanti;Kroatia;1;3;907;1053;28576;33003
7;Alkulohko;Ranska;Englanti;1;1;964;1145;30508;33563
8;Alkulohko;Ukraina;Ruotsi;2;1;572;910;28029;31125
9;Alkulohko;Kreikka;Tshekki;1;2;953;771;32455;29602
10;Alkulohko;Puola;Venaja;1;1;518;975;23806;33212
11;Alkulohko;Tanska;Portugali;2;3;1019;996;31205;31717
12;Alkulohko;Hollanti;Saksa;1;2;1234;1288;40860;40446
13;Alkulohko;Italia;Kroatia;1;1;977;1053;34357;33003
14;Alkulohko;Espanja;Irlanti;4;0;1456;907;43116;28576
15;Alkulohko;Ukraina;Ranska;0;2;572;964;28029;30508
16;Alkulohko;Ruotsi;Englanti;2;3;910;1145;31125;33563
17;Alkulohko;Tshekki;Puola;1;0;771;518;29602;23806
18;Alkulohko;Kreikka;Venaja;1;0;953;975;32455;33212
19;Alkulohko;Portugali;Hollanti;2;1;996;1234;31717;40860
20;Alkulohko;Tanska;Saksa;1;2;1019;1288;31205;40446
21;Alkulohko;Kroatia;Espanja;0;1;1053;1456;33003;43116
22;Alkulohko;Italia;Irlanti;2;0;977;907;34357;28576
23;Alkulohko;Englanti;Ukraina;1;0;1145;572;33563;28029
24;Alkulohko;Ruotsi;Ranska;2;0;910;964;31125;30508
25;Puolivaliera;Tshekki;Portugali;0;1;771;996;29602;31717
26;Puolivaliera;Saksa;Kreikka;4;2;1288;953;40446;32455
27;Puolivaliera;Espanja;Ranska;2;0;1456;964;43116;30508
28;Puolivaliera;Englanti;Italia;0;0;1145;977;33563;34357
29;Valiera;Portugali;Espanja;0;0;996;1456;31717;43116
30;Valiera;Saksa;Italia;1;2;1288;977;40446;34357
31;Finaali;Espanja;Italia;4;0;1456;977;43116;34357
