Päivä;Aika;Koti;Vieras
Jun 10, 2016;22:00;France;Romania
Jun 11, 2016;16:00;Albania;Switzerland
Jun 11, 2016;19:00;Wales;Slovakia
Jun 11, 2016;22:00;England;Russia
Jun 12, 2016;16:00;Turkey;Croatia
Jun 12, 2016;19:00;Poland;Northern Ireland
Jun 12, 2016;22:00;Germany;Ukraine
Jun 13, 2016;16:00;Spain;Czech Republic
Jun 13, 2016;19:00;Republic of Ireland;Sweden
Jun 13, 2016;22:00;Belgium;Italy
Jun 14, 2016;19:00;Austria;Hungary
Jun 14, 2016;22:00;Portugal;Iceland
Jun 15, 2016;16:00;Russia;Slovakia
Jun 15, 2016;19:00;Romania;Switzerland
Jun 15, 2016;22:00;France;Albania
Jun 16, 2016;16:00;England;Wales
Jun 16, 2016;19:00;Ukraine;Northern Ireland
Jun 16, 2016;22:00;Germany;Poland
Jun 17, 2016;16:00;Italy;Sweden
Jun 17, 2016;19:00;Czech Republic;Croatia
Jun 17, 2016;22:00;Spain;Turkey
Jun 18, 2016;16:00;Belgium;Republic of Ireland
Jun 18, 2016;19:00;Iceland;Hungary
Jun 18, 2016;22:00;Portugal;Austria
Jun 19, 2016;22:00;Romania;Albania
Jun 19, 2016;22:00;Switzerland;France
Jun 20, 2016;22:00;Russia;Wales
Jun 20, 2016;22:00;Slovakia;England
Jun 21, 2016;19:00;Ukraine;Poland
Jun 21, 2016;19:00;Northern Ireland;Germany
Jun 21, 2016;22:00;Czech Republic;Turkey
Jun 21, 2016;22:00;Croatia;Spain
Jun 22, 2016;19:00;Iceland;Austria
Jun 22, 2016;19:00;Hungary;Portugal
Jun 22, 2016;22:00;Italy;Republic of Ireland
Jun 22, 2016;22:00;Sweden;Belgium
